Date,LAT,LON,NDWI,nb_images
2022-09-01,29.5,-2.5,-0.1216,5
2022-10-01,29.5,-2.5,-0.1168,5
2022-11-01,29.5,-2.5,-0.1115,6
2022-12-01,29.5,-2.5,-0.1045,4
2023-01-01,29.5,-2.5,-0.0965,5
2023-02-01,29.5,-2.5,-0.1066,4
2023-03-01,29.5,-2.5,-0.1065,7
2023-04-01,29.5,-2.5,-0.1114,5
2023-05-01,29.5,-2.5,-0.1161,5
2023-06-01,29.5,-2.5,-0.1177,4
2023-07-01,29.5,-2.5,-0.1246,5
2023-08-01,29.5,-2.5,-0.1285,6
2023-09-01,29.5,-2.5,-0.1334,3
2023-10-01,29.5,-2.5,-0.1138,5
2023-11-01,29.5,-2.5,-0.1135,3
2023-12-01,29.5,-2.5,-0.0967,5
2024-01-01,29.5,-2.5,-0.1018,2
2024-02-01,29.5,-2.5,-0.1032,4
2024-03-01,29.5,-2.5,-0.1092,5
2024-04-01,29.5,-2.5,-0.1066,5
2024-05-01,29.5,-2.5,-0.1085,5
2024-06-01,29.5,-2.5,-0.1176,3
2024-07-01,29.5,-2.5,-0.1261,6
2024-08-01,29.5,-2.5,-0.1328,5
2024-09-01,29.5,-2.5,-0.1326,3
2024-10-01,29.5,-2.5,-0.1214,5
2024-11-01,29.5,-2.5,-0.1159,5
2024-12-01,29.5,-2.5,-0.1001,2
2025-01-01,29.5,-2.5,-0.0972,5
2025-02-01,29.5,-2.5,-0.1041,6
2025-03-01,29.5,-2.5,-0.105,5
2025-04-01,29.5,-2.5,-0.1138,5
2025-05-01,29.5,-2.5,-0.1153,7
2025-06-01,29.5,-2.5,-0.1221,7
2025-07-01,29.5,-2.5,-0.1282,6
2025-08-01,29.5,-2.5,-0.1309,8
2025-09-01,29.5,-2.5,-0.1305,6
2025-10-01,29.5,-2.5,-0.1196,7
2025-11-01,29.5,-2.5,-0.1091,7
2025-12-01,29.5,-2.5,-0.099,8
2020-01-01,30.5,-7.5,-0.1132,6
2020-02-01,30.5,-7.5,-0.118,5
2020-03-01,30.5,-7.5,-0.1135,5
2020-04-01,30.5,-7.5,-0.1122,4
2020-05-01,30.5,-7.5,-0.1103,7
2020-06-01,30.5,-7.5,-0.0993,4
2020-07-01,30.5,-7.5,-0.1198,5
2020-08-01,30.5,-7.5,-0.1263,5
2020-09-01,30.5,-7.5,-0.1236,5
2020-10-01,30.5,-7.5,-0.1242,5
2020-11-01,30.5,-7.5,-0.1237,4
2020-12-01,30.5,-7.5,-0.1255,6
2021-01-01,30.5,-7.5,-0.1165,6
2021-02-01,30.5,-7.5,-0.1094,4
2021-03-01,30.5,-7.5,-0.1007,4
2021-04-01,30.5,-7.5,-0.0918,4
2021-05-01,30.5,-7.5,-0.0943,3
2021-06-01,30.5,-7.5,-0.1039,5
2021-07-01,30.5,-7.5,-0.1152,2
2021-08-01,30.5,-7.5,-0.1105,6
2021-09-01,30.5,-7.5,-0.1164,4
2021-10-01,30.5,-7.5,-0.1158,6
2021-11-01,30.5,-7.5,-0.1127,5
2021-12-01,30.5,-7.5,-0.1111,5
2022-01-01,30.5,-7.5,-0.1146,3
2022-02-01,30.5,-7.5,-0.1214,2
2022-03-01,30.5,-7.5,-0.1012,5
2022-04-01,30.5,-7.5,-0.0919,6
2022-05-01,30.5,-7.5,-0.101,6
2022-06-01,30.5,-7.5,-0.1071,5
2022-07-01,30.5,-7.5,-0.1157,4
2022-08-01,30.5,-7.5,-0.1089,2
2022-09-01,30.5,-7.5,-0.1252,5
2022-10-01,30.5,-7.5,-0.1166,5
2022-11-01,30.5,-7.5,-0.1177,5
2022-12-01,30.5,-7.5,-0.1193,5
2023-01-01,30.5,-7.5,-0.1047,4
2023-02-01,30.5,-7.5,-0.0417,3
2023-03-01,30.5,-7.5,-0.1143,4
2023-04-01,30.5,-7.5,-0.0835,6
2023-05-01,30.5,-7.5,-0.0794,4
2023-06-01,30.5,-7.5,-0.0971,6
2023-07-01,30.5,-7.5,-0.1055,5
2023-08-01,30.5,-7.5,-0.1107,5
2023-09-01,30.5,-7.5,-0.1113,6
2023-10-01,30.5,-7.5,-0.1093,5
2023-11-01,30.5,-7.5,-0.1016,6
2023-12-01,30.5,-7.5,-0.0999,3
2024-01-01,30.5,-7.5,-0.1122,3
2024-02-01,30.5,-7.5,-0.1118,3
2024-03-01,30.5,-7.5,-0.1053,3
2024-04-01,30.5,-7.5,-0.1025,4
2024-05-01,30.5,-7.5,-0.1047,5
2024-06-01,30.5,-7.5,-0.108,5
2024-07-01,30.5,-7.5,-0.1068,6
