Date,NDWI,Surface
2023-10-01,-0.11201111111111112,3650317.1349393968
2023-10-02,-0.11210985663082437,3644869.177684051
2023-10-03,-0.11220860215053764,3639421.2204287057
2023-10-04,-0.1123073476702509,6251012.518839374
2023-10-05,-0.11240609318996417,8862603.817250043
2023-10-06,-0.11250483870967742,11474195.11566071
2023-10-07,-0.11260358422939068,14085786.41407138
2023-10-08,-0.11270232974910395,16697377.712482048
2023-10-09,-0.1128010752688172,57694119.3866247
2023-10-10,-0.11289982078853046,98690861.06076735
2023-10-11,-0.11299856630824373,3635970.7313607023
2023-10-12,-0.11309731182795699,14210013.311873855
2023-10-13,-0.11319605734767026,24784055.89238701
2023-10-14,-0.11329480286738351,35358098.47290016
2023-10-15,-0.11339354838709677,45932141.05341332
2023-10-16,-0.11349229390681004,31029318.754583314
2023-10-17,-0.1135910394265233,16126496.455753308
2023-10-18,-0.11368978494623656,1223674.156923302
2023-10-19,-0.11378853046594982,2018316.022054675
2023-10-20,-0.11388727598566308,2812957.887186048
2023-10-21,-0.11398602150537634,3607599.752317421
2023-10-22,-0.1140847670250896,14188233.518223904
2023-10-23,-0.11418351254480286,24768867.284130387
2023-10-24,-0.11428225806451613,35349501.05003687
2023-10-25,-0.11438100358422938,45930134.81594335
2023-10-26,-0.11447974910394265,3617178.606388706
2023-10-27,-0.11457849462365591,2869303.0096761063
2023-10-28,-0.11467724014336916,2121427.412963507
2023-10-29,-0.11477598566308243,2415628.7362763523
2023-10-30,-0.11487473118279569,2709830.059589197
2023-10-31,-0.11497347670250896,3004031.382902042
2023-11-01,-0.11507222222222221,3298232.706214887
2023-11-02,-0.11386703703703703,3592434.0295277317
2023-11-03,-0.11266185185185185,24777637.688819982
2023-11-04,-0.11145666666666666,45962841.34811223
2023-11-05,-0.11025148148148148,3588085.542815325
2023-11-06,-0.1090462962962963,10052534.731241263
2023-11-07,-0.10784111111111111,16516983.919667203
2023-11-08,-0.10663592592592593,13451369.954821035
2023-11-09,-0.10543074074074074,10385755.989974868
2023-11-10,-0.10422555555555556,7320142.025128702
2023-11-11,-0.10302037037037037,4254528.060282534
2023-11-12,-0.10181518518518519,1188914.0954363658
2023-11-13,-0.10061,26739876.57188184
2023-11-14,-0.09940481481481481,52290839.04832731
2023-11-15,-0.09819962962962964,1200857.0999236463
2023-11-16,-0.09699444444444444,8853564.962335624
2023-11-17,-0.09578925925925927,16506272.824747602
2023-11-18,-0.09458407407407407,57173972.9352204
2023-11-19,-0.0933788888888889,97841673.0456932
2023-11-20,-0.0921737037037037,3554424.3171405876
2023-11-21,-0.09096851851851853,2957330.8414817066
2023-11-22,-0.08976333333333333,2360237.3658228256
2023-11-23,-0.08855814814814815,49891532.11248425
2023-11-24,-0.08735296296296297,97422826.85914566
2023-11-25,-0.08614777777777778,3552703.837002744
2023-11-26,-0.0849425925925926,3559158.8921275428
2023-11-27,-0.08373740740740741,3565613.947252341
2023-11-28,-0.08253222222222223,24552916.57177084
2023-11-29,-0.08132703703703704,45540219.19628934
2023-11-30,-0.08012185185185186,30766152.713420182
2023-12-01,-0.07891666666666668,15992086.230551023
2023-12-02,-0.07855663082437277,1218019.7476818613
2023-12-03,-0.07819659498207886,1518334.914285922
2023-12-04,-0.07783655913978496,1818650.0808899829
2023-12-05,-0.07747652329749105,2118965.247494044
2023-12-06,-0.07711648745519714,2419280.4140981045
2023-12-07,-0.07675645161290323,2719595.580702165
2023-12-08,-0.07639641577060932,3019910.747306226
2023-12-09,-0.07603637992831543,3320225.913910287
2023-12-10,-0.07567634408602152,3620541.0805143476
2023-12-11,-0.0753163082437276,3609921.449232753
2023-12-12,-0.0749562724014337,3599301.817951158
2023-12-13,-0.07459623655913979,50339558.256947614
2023-12-14,-0.07423620071684589,97079814.69594407
2023-12-15,-0.07387616487455198,3594835.7127060844
2023-12-16,-0.07351612903225807,9370765.388791312
2023-12-17,-0.07315609318996416,15146695.064876538
2023-12-18,-0.07279605734767025,56508736.894743994
2023-12-19,-0.07243602150537634,97870778.72461145
2023-12-20,-0.07207598566308245,3626052.6372436536
2023-12-21,-0.07171594982078854,9972154.5706756
2023-12-22,-0.07135591397849463,16318256.50410755
2023-12-23,-0.07099587813620072,56378673.46397197
2023-12-24,-0.07063584229390682,96439090.4238364
2023-12-25,-0.07027580645161291,3624851.736364747
2023-12-26,-0.069915770609319,9409218.897369206
2023-12-27,-0.06955573476702509,15193586.058373664
2023-12-28,-0.06919569892473118,11336943.074742934
2023-12-29,-0.06883566308243727,7480300.091112205
2023-12-30,-0.06847562724014337,3623657.107481475
2023-12-31,-0.06811559139784946,8211682.062609623
2024-01-01,-0.06775555555555555,12799707.017737772
2024-01-02,-0.06829659498207885,54550105.80795415
2024-01-03,-0.06883763440860215,96300504.59817052
2024-01-04,-0.06937867383512544,3614049.931913848
2024-01-05,-0.06991971326164875,3608079.2640385656
2024-01-06,-0.07046075268817205,3602108.5961632826
2024-01-07,-0.07100179211469534,24386416.896628
2024-01-08,-0.07154283154121864,45170725.19709271
2024-01-09,-0.07208387096774194,3583927.1116304295
2024-01-10,-0.07262491039426523,3577522.3835513853
2024-01-11,-0.07316594982078853,3571117.6554723405
2024-01-12,-0.07370698924731182,4853276.707790432
2024-01-13,-0.07424802867383513,6135435.760108522
2024-01-14,-0.07478906810035843,7417594.812426614
2024-01-15,-0.07533010752688173,8699753.864744704
2024-01-16,-0.07587114695340502,9981912.917062795
2024-01-17,-0.07641218637992832,11264071.969380885
2024-01-18,-0.07695322580645161,12546231.021698976
2024-01-19,-0.07749426523297491,13828390.074017067
2024-01-20,-0.0780353046594982,15110549.126335157
2024-01-21,-0.07857634408602152,16392708.178653248
2024-01-22,-0.07911738351254481,56468806.55104994
2024-01-23,-0.07965842293906811,96544904.92344664
2024-01-24,-0.0801994623655914,69810667.68459296
2024-01-25,-0.0807405017921147,43076430.44573928
2024-01-26,-0.081281541218638,16342193.206885599
2024-01-27,-0.08182258064516129,12078627.155576136
2024-01-28,-0.0823636200716846,7815061.104266675
2024-01-29,-0.0829046594982079,3551495.0529572144
2024-01-30,-0.0834456989247312,26716481.083351858
2024-01-31,-0.08398673835125449,49881467.1137465
2024-02-01,-0.08452777777777779,73046453.14414114
2024-02-02,-0.08440593869731801,96211439.1745358
2024-02-03,-0.08428409961685825,1170500.3304734176
2024-02-04,-0.08416226053639847,12791439.84312224
2024-02-05,-0.08404042145593871,24412379.355771065
2024-02-06,-0.08391858237547893,36033318.868419886
2024-02-07,-0.08379674329501915,47654258.38106871
2024-02-08,-0.08367490421455939,40725178.47196583
2024-02-09,-0.08355306513409962,33796098.56286295
2024-02-10,-0.08343122605363985,26867018.65376006
2024-02-11,-0.08330938697318008,19937938.74465718
2024-02-12,-0.08318754789272031,13008858.835554298
2024-02-13,-0.08306570881226054,9492220.847413788
2024-02-14,-0.08294386973180076,5975582.859273276
2024-02-15,-0.082822030651341,2458944.8711327645
2024-02-16,-0.08270019157088122,47278679.329280205
2024-02-17,-0.08257835249042146,92098413.78742765
2024-02-18,-0.08245651340996168,3630311.684745879
2024-02-19,-0.08233467432950191,10235778.693958417
2024-02-20,-0.08221283524904215,16841245.70317095
2024-02-21,-0.08209099616858237,15039695.297966808
2024-02-22,-0.08196915708812261,13238144.892762665
2024-02-23,-0.08184731800766283,1735512.8183494422
2024-02-24,-0.08172547892720307,2735524.8387026326
2024-02-25,-0.08160363984674329,3735536.8590558227
2024-02-26,-0.08148180076628352,3738774.805185356
2024-02-27,-0.08135996168582375,3742012.7513148896
2024-02-28,-0.08123812260536398,3745250.697444423
2024-02-29,-0.08111628352490421,3743664.882231518
2024-03-01,-0.08099444444444444,3742079.067018613
2024-03-02,-0.08110179211469533,3740493.251805708
2024-03-03,-0.08120913978494623,3738907.436592803
