Date,LAT,LON,ALLSKY_SFC_SW_DWN,RH2M,GWETTOP,T2M,Precipitations_mm,VPD
2024-12-18,29.5,-2.5,13.103333333333333,58.43333333333334,,10.296666666666667,0.0,0.521
2024-12-18,30.5,-7.5,14.303333333333333,52.13333333333333,,6.253333333333333,0.0,0.456
2024-12-18,30.5,-2.5,12.56,59.82666666666666,,10.136666666666667,0.0,0.498
2024-12-18,31.5,-7.5,13.186666666666667,62.04,,7.510000000000001,0.0,0.394
2024-12-18,31.5,-2.5,12.073333333333332,57.75333333333333,,10.106666666666667,0.0,0.522
2024-12-18,32.5,-7.5,12.88,68.52666666666666,,11.933333333333332,0.0,0.439
2024-12-18,32.5,-2.5,9.886666666666667,70.27,,6.8566666666666665,0.0,0.295
2024-12-18,33.5,-7.5,12.156666666666666,72.97000000000001,,14.11,0.0,0.435
2024-12-18,33.5,-2.5,9.606666666666667,76.35666666666667,,6.746666666666667,0.0,0.233
2024-12-18,34.5,-7.5,11.466666666666667,69.77666666666666,,17.793333333333333,0.0,0.616
2024-12-18,34.5,-2.5,8.453333333333333,79.79666666666667,,9.633333333333333,0.0,0.242
2024-12-18,35.5,-7.5,10.403333333333334,72.24666666666667,,17.73,0.0,0.563
2024-12-18,35.5,-2.5,8.113333333333333,77.64,,16.483333333333334,0.0,0.419
2024-12-19,27.5,-7.5,15.286666666666667,43.38666666666666,,11.623333333333333,0.0,0.775
2024-12-19,27.5,-2.5,14.38,59.07,,11.776666666666666,0.0,0.566
2024-12-19,28.5,-7.5,14.733333333333334,42.346666666666664,,11.923333333333332,0.0,0.805
2024-12-19,28.5,-2.5,13.833333333333334,60.15,,11.636666666666665,0.0,0.546
2024-12-19,29.5,-7.5,14.503333333333332,41.42,,12.693333333333333,0.0,0.86
2024-12-19,29.5,-2.5,13.606666666666667,64.28333333333333,,10.386666666666668,0.0,0.45
2024-12-19,30.5,-7.5,14.24,53.00666666666667,,5.420000000000001,0.0,0.422
2024-12-19,30.5,-2.5,13.56,66.24666666666667,,10.053333333333333,0.0,0.416
2024-12-19,31.5,-7.5,12.553333333333333,52.946666666666665,,7.496666666666666,0.0,0.488
2024-12-19,31.5,-2.5,12.913333333333334,65.93333333333334,,9.74,0.0,0.411
2024-12-19,32.5,-7.5,11.226666666666667,59.75333333333333,,12.393333333333333,0.0,0.579
2024-12-19,32.5,-2.5,10.63,70.54333333333334,,7.473333333333334,0.0,0.305
2024-12-19,33.5,-7.5,10.253333333333334,72.06666666666666,,14.486666666666666,0.0,0.461
2024-12-19,33.5,-2.5,10.556666666666667,71.46,,7.486666666666667,0.0,0.296
2024-12-19,34.5,-7.5,9.16,73.25,,18.216666666666665,0.2,0.56
2024-12-19,34.5,-2.5,9.03,72.10333333333334,,10.133333333333333,0.0,0.346
2024-12-19,35.5,-7.5,8.450000000000001,74.16666666666667,,18.043333333333333,2.0,0.535
2024-12-19,35.5,-2.5,7.516666666666666,75.53333333333335,,15.993333333333334,0.0,0.445
2024-12-20,27.5,-7.5,15.213333333333333,52.553333333333335,,11.473333333333334,0.0,0.643
2024-12-20,27.5,-2.5,14.68,55.25666666666667,,13.016666666666666,0.0,0.671
2024-12-20,28.5,-7.5,14.703333333333333,47.30666666666667,,11.886666666666665,0.0,0.734
2024-12-20,28.5,-2.5,14.203333333333333,53.083333333333336,,13.153333333333334,0.0,0.71
2024-12-20,29.5,-7.5,14.729999999999999,42.27333333333333,,12.906666666666666,0.0,0.859
2024-12-20,29.5,-2.5,14.020000000000001,58.98333333333333,,11.316666666666668,0.0,0.55
2024-12-20,30.5,-7.5,14.343333333333334,51.156666666666666,,6.043333333333333,0.0,0.458
2024-12-20,30.5,-2.5,13.743333333333334,61.01333333333334,,10.526666666666667,0.0,0.496
2024-12-20,31.5,-7.5,12.983333333333334,57.85,,7.48,0.0,0.436
2024-12-20,31.5,-2.5,13.520000000000001,58.18,,9.99,0.0,0.513
2024-12-20,32.5,-7.5,11.396666666666667,64.28,,12.479999999999999,0.0,0.517
2024-12-20,32.5,-2.5,12.089999999999998,63.696666666666665,,6.6066666666666665,0.0,0.354
2024-12-20,33.5,-7.5,10.396666666666667,73.02666666666666,,14.903333333333334,0.9,0.457
2024-12-20,33.5,-2.5,11.446666666666667,67.57333333333334,,6.786666666666666,0.0,0.32
2024-12-20,34.5,-7.5,9.726666666666667,75.51333333333334,,18.06,0.1,0.507
2024-12-20,34.5,-2.5,10.0,65.93333333333332,,9.703333333333333,0.0,0.41
2024-12-20,35.5,-7.5,7.733333333333333,78.95,,17.66,0.0,0.425
2024-12-20,35.5,-2.5,10.036666666666667,71.44,,16.656666666666666,0.2,0.541
2024-12-21,27.5,-7.5,15.549999999999999,53.403333333333336,,11.709999999999999,0.0,0.641
2024-12-21,27.5,-2.5,15.520000000000001,46.24666666666667,,12.74,0.0,0.791
2024-12-21,28.5,-7.5,15.12,47.88666666666666,,11.893333333333333,0.6,0.726
2024-12-21,28.5,-2.5,15.053333333333333,42.38666666666666,,12.643333333333333,0.0,0.843
2024-12-21,29.5,-7.5,14.75,39.04333333333333,,13.413333333333334,7.5,0.938
2024-12-21,29.5,-2.5,14.376666666666667,47.376666666666665,,11.316666666666668,0.0,0.705
2024-12-21,30.5,-7.5,14.446666666666667,47.47,,5.75,0.7,0.483
2024-12-21,30.5,-2.5,14.06,50.23333333333333,,11.07,0.0,0.656
2024-12-21,31.5,-7.5,13.573333333333332,54.20666666666667,,7.596666666666667,3.9,0.478
2024-12-21,31.5,-2.5,13.703333333333333,54.39333333333334,,10.453333333333333,0.0,0.577
2024-12-21,32.5,-7.5,11.5,73.87333333333333,,12.053333333333333,3.1,0.368
2024-12-21,32.5,-2.5,13.233333333333334,67.98,,7.18,0.1,0.325
2024-12-21,33.5,-7.5,9.413333333333334,83.85666666666667,,14.193333333333333,0.0,0.261
2024-12-21,33.5,-2.5,12.216666666666667,69.05333333333334,,7.45,1.1,0.32
2024-12-21,34.5,-7.5,8.85,79.44666666666667,,18.003333333333334,0.5,0.424
2024-12-21,34.5,-2.5,10.946666666666667,73.18333333333334,,10.233333333333333,1.4,0.334
2024-12-21,35.5,-7.5,8.23,78.55333333333333,,17.486666666666668,2.6,0.429
2024-12-21,35.5,-2.5,8.983333333333333,76.61333333333333,,16.936666666666667,0.0,0.451
2024-12-22,27.5,-7.5,15.566666666666668,50.050000000000004,,12.146666666666667,0.0,0.707
2024-12-22,27.5,-2.5,15.450000000000001,45.54333333333333,,12.613333333333335,0.0,0.795
2024-12-22,28.5,-7.5,15.1,46.94,,12.68,1.1,0.778
2024-12-22,28.5,-2.5,14.813333333333333,47.55666666666667,,12.483333333333334,0.0,0.759
2024-12-22,29.5,-7.5,14.696666666666667,41.59,,14.023333333333333,0.7,0.935
2024-12-22,29.5,-2.5,14.233333333333334,52.56,,11.46,0.0,0.642
2024-12-22,30.5,-7.5,14.37,54.45666666666667,,5.863333333333333,6.5,0.422
2024-12-22,30.5,-2.5,13.89,55.51666666666667,,11.116666666666667,0.0,0.588
2024-12-22,31.5,-7.5,11.963333333333333,56.66,,8.283333333333333,0.2,0.474
2024-12-22,31.5,-2.5,12.87,58.22666666666667,,10.450000000000001,0.0,0.529
2024-12-22,32.5,-7.5,11.959999999999999,66.56333333333333,,12.32,0.0,0.479
2024-12-22,32.5,-2.5,12.1,65.72,,7.6499999999999995,0.0,0.359
2024-12-22,33.5,-7.5,11.403333333333334,78.71666666666665,,14.703333333333333,0.0,0.356
2024-12-22,33.5,-2.5,10.466666666666667,68.00333333333333,,7.876666666666666,0.0,0.34
2024-12-22,34.5,-7.5,10.276666666666666,75.42,,17.763333333333335,0.0,0.5
2024-12-22,34.5,-2.5,10.83,71.20666666666666,,10.146666666666667,0.0,0.357
2024-12-22,35.5,-7.5,10.556666666666667,73.22666666666667,,17.283333333333335,1.1,0.528
2024-12-22,35.5,-2.5,10.486666666666666,76.60333333333334,,16.226666666666667,0.0,0.432
2024-12-23,27.5,-7.5,15.503333333333332,49.586666666666666,,12.333333333333334,0.0,0.723
2024-12-23,27.5,-2.5,15.316666666666668,47.65,,12.38,0.0,0.753
2024-12-23,28.5,-7.5,14.986666666666666,48.93,,12.496666666666668,0.0,0.74
2024-12-23,28.5,-2.5,14.926666666666668,48.11666666666667,,12.586666666666666,0.0,0.756
2024-12-23,29.5,-7.5,14.63,40.47666666666667,,13.746666666666668,0.0,0.936
2024-12-23,29.5,-2.5,14.513333333333334,50.75666666666667,,11.436666666666667,0.0,0.665
2024-12-23,30.5,-7.5,14.67,43.406666666666666,,6.863333333333333,0.0,0.562
2024-12-23,30.5,-2.5,13.666666666666666,51.403333333333336,,10.613333333333333,0.0,0.622
2024-12-23,31.5,-7.5,13.673333333333334,45.06333333333333,,8.423333333333334,0.0,0.607
2024-12-23,31.5,-2.5,13.5,51.14000000000001,,10.313333333333334,0.0,0.613
2024-12-23,32.5,-7.5,12.566666666666668,61.129999999999995,,12.57,0.0,0.566
2024-12-23,32.5,-2.5,12.903333333333334,55.07,,7.760000000000001,0.0,0.474
2024-12-23,33.5,-7.5,11.336666666666668,80.56,,14.306666666666667,0.0,0.317
2024-12-23,33.5,-2.5,11.219999999999999,63.19,,8.236666666666666,0.0,0.401
2024-12-23,34.5,-7.5,8.88,77.29,,17.963333333333335,0.0,0.468
2024-12-23,34.5,-2.5,10.9,69.36666666666666,,10.303333333333333,0.0,0.384
2024-12-23,35.5,-7.5,8.736666666666666,73.58666666666666,,17.913333333333334,0.0,0.542
2024-12-23,35.5,-2.5,9.546666666666667,75.98333333333333,,16.66333333333333,0.0,0.456
2024-12-24,27.5,-7.5,14.883333333333333,55.403333333333336,,12.049999999999999,0.0,0.628
2024-12-24,27.5,-2.5,14.283333333333333,43.01333333333334,,12.026666666666666,0.0,0.801
2024-12-24,28.5,-7.5,14.633333333333333,52.52,,12.213333333333333,0.0,0.675
2024-12-24,28.5,-2.5,14.64,42.35,,12.183333333333332,0.0,0.818
2024-12-24,29.5,-7.5,14.396666666666667,43.74,,13.873333333333333,0.0,0.892
2024-12-24,29.5,-2.5,14.313333333333333,44.23666666666666,,11.339999999999998,0.0,0.749
2024-12-24,30.5,-7.5,13.236666666666666,56.370000000000005,,6.670000000000001,0.0,0.427
2024-12-24,30.5,-2.5,14.089999999999998,43.39333333333334,,10.863333333333335,0.0,0.736
2024-12-24,31.5,-7.5,11.82,55.52333333333333,,8.836666666666666,0.0,0.505
2024-12-24,31.5,-2.5,13.04,43.5,,10.306666666666667,0.0,0.708
2024-12-24,32.5,-7.5,10.633333333333333,59.46666666666666,,13.313333333333334,0.0,0.62
2024-12-24,32.5,-2.5,11.776666666666666,47.60999999999999,,7.786666666666666,0.0,0.554
2024-12-24,33.5,-7.5,10.616666666666665,74.41666666666667,,14.94,0.0,0.435
2024-12-24,33.5,-2.5,10.35,50.080000000000005,,8.413333333333332,0.0,0.551
2024-12-24,34.5,-7.5,9.196666666666667,77.25,,17.83,0.0,0.465
2024-12-24,34.5,-2.5,9.656666666666666,57.21333333333333,,11.410000000000002,0.0,0.577
2024-12-24,35.5,-7.5,9.306666666666667,73.68666666666667,,17.73,0.0,0.534
2024-12-24,35.5,-2.5,9.103333333333333,74.29333333333334,,16.613333333333333,0.0,0.486
2024-12-25,27.5,-7.5,15.293333333333331,52.93666666666667,,12.263333333333334,0.0,0.672
2024-12-25,27.5,-2.5,13.003333333333336,41.513333333333335,,13.046666666666667,0.3,0.879
2024-12-25,28.5,-7.5,14.623333333333333,50.553333333333335,,12.290000000000001,0.0,0.707
